animal sire dam
FM2010016172 FM2006013136 FM2006013038
FM2010016179 FM2006013136 FM2006013038
FM2010016343 FM2006013131 FM2006013018
FM2010016357 FM2006013131 FM2006013018
FM2010016391 FM2006013131 FM2006013018
FM2010016525 FM2006013126 FM2006012994
FM2010016526 FM2006013126 FM2006012994
FM2010016527 FM2006013126 FM2006012994
FM2010016535 FM2006013126 FM2006012994
FM2010016574 FM2006013126 FM2006012994
FM2010016577 FM2006013126 FM2006012994
FM2010016595 FM2006013126 FM2006012994
FM2010016735 FM2006013137 FM2006013042
FM2010016742 FM2006013137 FM2006013042
FM2010016744 FM2006013137 FM2006013042
FM2010016763 FM2006013137 FM2006013042
FM2010016769 FM2006013137 FM2006013042
FM2010016772 FM2006013137 FM2006013042
FM2010016780 FM2006013137 FM2006013042
FM2010016788 FM2006013137 FM2006013042
FM2010016922 FM2006013138 FM2006013043
FM2010016931 FM2006013138 FM2006013043
FM2010016955 FM2006013138 FM2006013043
FM2010016963 FM2006013138 FM2006013043
FM2010016972 FM2006013138 FM2006013043
FM2010016992 FM2006013138 FM2006013043
FM2010016995 FM2006013138 FM2006013043
FM2010017130 FM2006013138 FM2006013044
FM2010017139 FM2006013138 FM2006013044
FM2010017154 FM2006013138 FM2006013044
FM2010017158 FM2006013138 FM2006013044
FM2010017162 FM2006013138 FM2006013044
FM2010017171 FM2006013138 FM2006013044
FM2010017174 FM2006013138 FM2006013044
FM2010017190 FM2006013138 FM2006013044
FM2010017335 FM2006013138 FM2006013046
FM2010017349 FM2006013138 FM2006013046
FM2010017359 FM2006013138 FM2006013046
FM2010017369 FM2006013138 FM2006013046
FM2010017385 FM2006013138 FM2006013046
FM2010017388 FM2006013138 FM2006013046
FM2010017395 FM2006013138 FM2006013046
FM2010017536 FM2006013139 FM2006013048
FM2010017544 FM2006013139 FM2006013048
FM2010017546 FM2006013139 FM2006013048
FM2010017582 FM2006013139 FM2006013048
FM2010017589 FM2006013139 FM2006013048
FM2010017590 FM2006013139 FM2006013048
FM2010017594 FM2006013139 FM2006013048
FM2010017595 FM2006013139 FM2006013048
FM2010017733 FM2006013139 FM2006013049
FM2010017743 FM2006013139 FM2006013049
FM2010017755 FM2006013139 FM2006013049
FM2010017759 FM2006013139 FM2006013049
FM2010017771 FM2006013139 FM2006013049
FM2010017784 FM2006013139 FM2006013049
FM2010017930 FM2006013139 FM2006013050
FM2010017933 FM2006013139 FM2006013050
FM2010017940 FM2006013139 FM2006013050
FM2010017942 FM2006013139 FM2006013050
FM2010017949 FM2006013139 FM2006013050
FM2010017953 FM2006013139 FM2006013050
FM2010017991 FM2006013139 FM2006013050
FM2010017996 FM2006013139 FM2006013050
FM2010018140 FM2006013140 FM2006013051
FM2010018149 FM2006013140 FM2006013051
FM2010018168 FM2006013140 FM2006013051
FM2010018169 FM2006013140 FM2006013051
FM2010018178 FM2006013140 FM2006013051
FM2010018184 FM2006013140 FM2006013051
FM2010018185 FM2006013140 FM2006013051
